episode,epsilon,mean_score,replay_size,total_steps
1,1.000000,0.000000,131,131
2,0.999953,0.000000,152,152
3,0.999905,0.000000,194,194
4,0.999857,0.000000,360,360
5,0.999810,0.000000,419,419
6,0.999762,1.000000,465,465
7,0.999715,0.000000,528,528
8,0.999668,0.000000,589,589
9,0.999620,0.000000,661,661
10,0.999572,0.000000,685,685
11,0.999525,0.000000,758,758
12,0.999478,0.000000,805,805
13,0.999430,0.000000,985,985
14,0.999382,1.000000,1030,1030
15,0.999335,0.000000,1152,1152
16,0.999287,0.000000,1291,1291
17,0.999240,0.000000,1401,1401
18,0.999193,0.000000,1451,1451
19,0.999145,1.000000,1475,1475
20,0.999097,1.000000,1587,1587
21,0.999050,0.000000,1650,1650
22,0.999003,0.000000,1711,1711
23,0.998955,0.000000,1760,1760
24,0.998907,0.000000,1824,1824
25,0.998860,0.000000,1940,1940
26,0.998812,0.000000,1962,1962
27,0.998765,0.000000,2023,2023
28,0.998718,0.000000,2085,2085
29,0.998670,0.000000,2196,2196
30,0.998622,0.000000,2304,2304
31,0.998575,0.000000,2378,2378
32,0.998528,0.000000,2423,2423
33,0.998480,0.000000,2449,2449
34,0.998432,0.000000,2512,2512
35,0.998385,0.000000,2535,2535
36,0.998337,0.000000,2613,2613
37,0.998290,0.000000,2694,2694
38,0.998243,0.000000,2928,2928
39,0.998195,0.000000,2971,2971
40,0.998147,0.000000,3004,3004
41,0.998100,0.000000,3060,3060
42,0.998053,0.000000,3092,3092
43,0.998005,0.000000,3145,3145
44,0.997958,0.000000,3364,3364
45,0.997910,0.000000,3454,3454
46,0.997862,0.000000,3503,3503
47,0.997815,0.000000,3532,3532
48,0.997768,0.000000,3584,3584
49,0.997720,0.000000,3608,3608
50,0.997672,0.000000,3646,3646
51,0.997625,0.000000,3678,3678
52,0.997578,0.000000,3737,3737
53,0.997530,0.000000,3827,3827
54,0.997483,0.000000,3875,3875
55,0.997435,0.000000,3971,3971
56,0.997387,0.000000,4037,4037
57,0.997340,0.000000,4074,4074
58,0.997293,0.000000,4104,4104
59,0.997245,0.000000,4147,4147
60,0.997197,0.000000,4202,4202
61,0.997150,0.000000,4254,4254
62,0.997103,0.000000,4286,4286
63,0.997055,0.000000,4349,4349
64,0.997008,0.000000,4407,4407
65,0.996960,0.000000,4433,4433
66,0.996912,0.000000,4453,4453
67,0.996865,0.000000,4498,4498
68,0.996818,0.000000,4564,4564
69,0.996770,0.000000,4603,4603
70,0.996722,0.000000,4659,4659
71,0.996675,0.000000,131,4790
72,0.996627,0.000000,152,4811
73,0.996580,0.000000,194,4853
74,0.996533,0.000000,360,5019
75,0.996485,0.000000,419,5078
76,0.996437,1.000000,465,5124
77,0.996390,0.000000,528,5187
78,0.996343,0.000000,589,5248
79,0.996295,0.000000,661,5320
80,0.996247,0.000000,685,5344
81,0.996200,0.000000,758,5417
82,0.996152,0.000000,131,5548
83,0.996105,0.000000,152,5569
84,0.996058,0.000000,194,5611
85,0.996010,0.000000,360,5777
86,0.995962,0.000000,419,5836
87,0.995915,1.000000,465,5882
88,0.995868,0.000000,528,5945
89,0.995820,0.000000,589,6006
90,0.995772,0.000000,661,6078
91,0.995725,0.000000,685,6102
92,0.995677,0.000000,758,6175
93,0.995630,0.000000,805,6222
94,0.995583,0.000000,943,6360
95,0.995535,1.000000,1007,6424
96,0.995487,0.000000,1059,6476
97,0.995440,0.000000,1152,6569
98,0.995393,0.000000,1177,6594
99,0.995345,0.000000,1307,6724
100,0.995297,0.000000,1441,6858
101,0.995250,0.000000,1528,6945
102,0.995202,0.000000,1655,7072
103,0.995155,0.000000,1716,7133
104,0.995108,0.000000,1765,7182
105,0.995060,0.000000,1846,7263
106,0.995012,0.000000,1922,7339
107,0.994965,0.000000,1974,7391
108,0.994918,0.000000,2121,7538
109,0.994870,0.000000,2356,7773
110,0.994823,0.000000,2381,7798
111,0.994775,0.000000,2398,7815
112,0.994727,0.000000,2465,7882
113,0.994680,0.000000,2526,7943
114,0.994633,0.000000,2543,7960
115,0.994585,0.000000,2621,8038
116,0.994537,0.000000,2702,8119
117,0.994490,0.000000,2921,8338
118,0.994443,0.000000,2950,8367
119,0.994395,0.000000,2966,8383
120,0.994348,0.000000,2996,8413
121,0.994300,0.000000,3062,8479
122,0.994252,0.000000,3112,8529
123,0.994205,0.000000,3145,8562
124,0.994158,0.000000,3197,8614
125,0.994110,0.000000,3242,8659
126,0.994062,0.000000,3473,8890
127,0.994015,0.000000,3490,8907
128,0.993968,0.000000,3521,8938
129,0.993920,0.000000,3573,8990
130,0.993873,0.000000,3597,9014
131,0.993825,0.000000,3635,9052
132,0.993777,0.000000,3667,9084
133,0.993730,0.000000,3726,9143
134,0.993683,1.000000,3798,9215
135,0.993635,0.000000,3887,9304
136,0.993587,0.000000,3921,9338
137,0.993540,0.000000,4021,9438
138,0.993493,0.000000,4058,9475
139,0.993445,0.000000,4088,9505
140,0.993398,0.000000,131,9636
141,0.993350,0.000000,152,9657
142,0.993302,0.000000,194,9699
143,0.993255,0.000000,360,9865
144,0.993208,0.000000,419,9924
145,0.993160,1.000000,465,9970
146,0.993112,0.000000,528,10033
147,0.993065,1.000000,621,10126
148,0.993017,0.000000,714,10219
149,0.992970,0.000000,809,10314
150,0.992923,0.000000,851,10356
151,0.992875,0.000000,952,10457
